epoch,train_mse,train_rmse,train_mae,val_mse,val_rmse,val_mae
1,0.0005041868623433441,0.022454105690125896,0.01362621729042629,0.00019258934647662816,0.01387765637550621,0.009542924024484369
2,0.00016778700067011714,0.012953262163258997,0.008982131102957305,0.000172764895211518,0.013144006056431883,0.008895833226688613
3,0.0001439039707519072,0.011995998114033997,0.0082950741614895,0.00015580124821488973,0.012482037021852231,0.008397476525679447
4,0.0001297481286364888,0.011390703605857226,0.007912978361657353,0.00015353458766595237,0.012390907459340997,0.00830100676212884
5,0.00012160129723318989,0.011027297821007188,0.007661772614770491,0.00015249715808029232,0.012348973968726808,0.008220882734655694
