epoch,train_mse,train_rmse,train_mae,val_mse,val_rmse,val_mae
1,0.003934293542489692,0.06272394712141202,0.03409709715814703,0.006126678248008155,0.07827310041136837,0.04172668234829824
2,0.0030035608374925074,0.054804751960870215,0.028672365663773326,0.006159506755236829,0.07848252515838688,0.0415167291278844
3,0.002757534358302625,0.05251223055920044,0.027200721040792124,0.006358354634371844,0.07973929165958175,0.042717302882907995
4,0.002632114641418875,0.05130413863830943,0.026452037438278564,0.006378715107224336,0.07986685862874748,0.041890152128047316
5,0.002554893271950778,0.050545952082741284,0.025985790060080585,0.006451444850887649,0.08032088676606881,0.04257064396850222
6,0.0025009680565041548,0.05000967962808955,0.0256508868568609,0.006418393749273073,0.08011487845134056,0.042304396690175265
7,0.0024604133956115906,0.04960255432547391,0.025378315526584715,0.006531569322454384,0.08081812496250072,0.04353750780213639
8,0.0024282274131443475,0.04927704752868568,0.025181447020446824,0.006544062752347527,0.08089538152668252,0.04242216559289664
9,0.0024014592453176402,0.049004685952647835,0.02501354824606741,0.006596259510827324,0.08121735966422033,0.043135442999581955
10,0.0023793375172715897,0.04877845341205059,0.024873315735345642,0.006637098678775064,0.08146839067254898,0.04347369391961276
11,0.0023606696521584146,0.04858672300287821,0.02475523997820327,0.006674974392593029,0.08170051647690502,0.0436134036952427
12,0.002344472491531545,0.04841975311307922,0.02465262774478269,0.006684988116686162,0.08176177662383666,0.04388095641946672
13,0.0023306981266298953,0.048277304467315645,0.024565992439803477,0.006676931493697868,0.08171249288632594,0.04350768512202348
14,0.0023190975248081796,0.04815700909325848,0.024490331278806503,0.006825950326660491,0.08261930964768764,0.04524250886755946
15,0.002308148107183609,0.04804319001881129,0.02441998747170054,0.006832202630972577,0.08265713902000588,0.04494629729708082
