time,id,lon_storm,lat_storm,amp_storm,max_wind_speed,area_storm
2026-06-03 09:00:00,2024-01,103.25,24.0,99867.39539222328,8.582936921449114,60076.798647674914
2026-06-03 10:00:00,2024-02,105.25,21.75,99867.25599311286,6.3313305392509855,46708.693958468
